season,lg,team,abbreviation,playoffs
2007,NBA,Detroit Pistons,DET,TRUE
2007,NBA,Golden State Warriors,GSW,TRUE
2007,NBA,Houston Rockets,HOU,TRUE
2007,NBA,Indiana Pacers,IND,FALSE
2007,NBA,Los Angeles Clippers,LAC,FALSE
2007,NBA,Los Angeles Lakers,LAL,TRUE
2007,NBA,Memphis Grizzlies,MEM,FALSE
2007,NBA,Miami Heat,MIA,TRUE
2007,NBA,Milwaukee Bucks,MIL,FALSE
2007,NBA,Minnesota Timberwolves,MIN,FALSE
2007,NBA,New Jersey Nets,NJN,TRUE
2007,NBA,New Orleans/Oklahoma City Hornets,NOK,FALSE
2007,NBA,New York Knicks,NYK,FALSE
2007,NBA,Orlando Magic,ORL,TRUE
2007,NBA,Philadelphia 76ers,PHI,FALSE
2007,NBA,Phoenix Suns,PHO,TRUE
2007,NBA,Portland Trail Blazers,POR,FALSE
2007,NBA,Sacramento Kings,SAC,FALSE
2007,NBA,San Antonio Spurs,SAS,TRUE
2007,NBA,Seattle SuperSonics,SEA,FALSE
2007,NBA,Toronto Raptors,TOR,TRUE
2007,NBA,Utah Jazz,UTA,TRUE
2007,NBA,Washington Wizards,WAS,TRUE
2006,NBA,Atlanta Hawks,ATL,FALSE
2006,NBA,Boston Celtics,BOS,FALSE
2006,NBA,Charlotte Bobcats,CHA,FALSE
2006,NBA,Chicago Bulls,CHI,TRUE
2006,NBA,Cleveland Cavaliers,CLE,TRUE
2006,NBA,Dallas Mavericks,DAL,TRUE
2006,NBA,Denver Nuggets,DEN,TRUE
2006,NBA,Detroit Pistons,DET,TRUE
2006,NBA,Golden State Warriors,GSW,FALSE
2006,NBA,Houston Rockets,HOU,FALSE
2006,NBA,Indiana Pacers,IND,TRUE
2006,NBA,Los Angeles Clippers,LAC,TRUE
2006,NBA,Los Angeles Lakers,LAL,TRUE
2006,NBA,Memphis Grizzlies,MEM,TRUE
2006,NBA,Miami Heat,MIA,TRUE
2006,NBA,Milwaukee Bucks,MIL,TRUE
2006,NBA,Minnesota Timberwolves,MIN,FALSE
2006,NBA,New Jersey Nets,NJN,TRUE
2006,NBA,New Orleans/Oklahoma City Hornets,NOK,FALSE
2006,NBA,New York Knicks,NYK,FALSE
2006,NBA,Orlando Magic,ORL,FALSE
2006,NBA,Philadelphia 76ers,PHI,FALSE
2006,NBA,Phoenix Suns,PHO,TRUE
2006,NBA,Portland Trail Blazers,POR,FALSE
2006,NBA,Sacramento Kings,SAC,TRUE
2006,NBA,San Antonio Spurs,SAS,TRUE
2006,NBA,Seattle SuperSonics,SEA,FALSE
2006,NBA,Toronto Raptors,TOR,FALSE
2006,NBA,Utah Jazz,UTA,FALSE
2006,NBA,Washington Wizards,WAS,TRUE
2005,NBA,Atlanta Hawks,ATL,FALSE
2005,NBA,Boston Celtics,BOS,TRUE
2005,NBA,Charlotte Bobcats,CHA,FALSE
2005,NBA,Chicago Bulls,CHI,TRUE
2005,NBA,Cleveland Cavaliers,CLE,FALSE
2005,NBA,Dallas Mavericks,DAL,TRUE
2005,NBA,Denver Nuggets,DEN,TRUE
2005,NBA,Detroit Pistons,DET,TRUE
2005,NBA,Golden State Warriors,GSW,FALSE
2005,NBA,Houston Rockets,HOU,TRUE
2005,NBA,Indiana Pacers,IND,TRUE
2005,NBA,Los Angeles Clippers,LAC,FALSE
2005,NBA,Los Angeles Lakers,LAL,FALSE
2005,NBA,Memphis Grizzlies,MEM,TRUE
2005,NBA,Miami Heat,MIA,TRUE
2005,NBA,Milwaukee Bucks,MIL,FALSE
2005,NBA,Minnesota Timberwolves,MIN,FALSE
2005,NBA,New Jersey Nets,NJN,TRUE
2005,NBA,New Orleans Hornets,NOH,FALSE
2005,NBA,New York Knicks,NYK,FALSE
2005,NBA,Orlando Magic,ORL,FALSE
2005,NBA,Philadelphia 76ers,PHI,TRUE
2005,NBA,Phoenix Suns,PHO,TRUE
2005,NBA,Portland Trail Blazers,POR,FALSE
2005,NBA,Sacramento Kings,SAC,TRUE
2005,NBA,San Antonio Spurs,SAS,TRUE
2005,NBA,Seattle SuperSonics,SEA,TRUE
2005,NBA,Toronto Raptors,TOR,FALSE
2005,NBA,Utah Jazz,UTA,FALSE
2005,NBA,Washington Wizards,WAS,TRUE
2004,NBA,Atlanta Hawks,ATL,FALSE
2004,NBA,Boston Celtics,BOS,TRUE
2004,NBA,Chicago Bulls,CHI,FALSE
2004,NBA,Cleveland Cavaliers,CLE,FALSE
2004,NBA,Dallas Mavericks,DAL,TRUE
2004,NBA,Denver Nuggets,DEN,TRUE
2004,NBA,Detroit Pistons,DET,TRUE
2004,NBA,Golden State Warriors,GSW,FALSE
2004,NBA,Houston Rockets,HOU,TRUE
2004,NBA,Indiana Pacers,IND,TRUE
2004,NBA,Los Angeles Clippers,LAC,FALSE
2004,NBA,Los Angeles Lakers,LAL,TRUE
2004,NBA,Memphis Grizzlies,MEM,TRUE
2004,NBA,Miami Heat,MIA,TRUE
2004,NBA,Milwaukee Bucks,MIL,TRUE
2004,NBA,Minnesota Timberwolves,MIN,TRUE
2004,NBA,New Jersey Nets,NJN,TRUE
2004,NBA,New Orleans Hornets,NOH,TRUE
2004,NBA,New York Knicks,NYK,TRUE
2004,NBA,Orlando Magic,ORL,FALSE
2004,NBA,Philadelphia 76ers,PHI,FALSE
2004,NBA,Phoenix Suns,PHO,FALSE
2004,NBA,Portland Trail Blazers,POR,FALSE
2004,NBA,Sacramento Kings,SAC,TRUE
2004,NBA,San Antonio Spurs,SAS,TRUE
2004,NBA,Seattle SuperSonics,SEA,FALSE
2004,NBA,Toronto Raptors,TOR,FALSE
2004,NBA,Utah Jazz,UTA,FALSE
2004,NBA,Washington Wizards,WAS,FALSE
2003,NBA,Atlanta Hawks,ATL,FALSE
2003,NBA,Boston Celtics,BOS,TRUE
2003,NBA,Chicago Bulls,CHI,FALSE
2003,NBA,Cleveland Cavaliers,CLE,FALSE
2003,NBA,Dallas Mavericks,DAL,TRUE
2003,NBA,Denver Nuggets,DEN,FALSE
2003,NBA,Detroit Pistons,DET,TRUE
2003,NBA,Golden State Warriors,GSW,FALSE
2003,NBA,Houston Rockets,HOU,FALSE
2003,NBA,Indiana Pacers,IND,TRUE
2003,NBA,Los Angeles Clippers,LAC,FALSE
2003,NBA,Los Angeles Lakers,LAL,TRUE
2003,NBA,Memphis Grizzlies,MEM,FALSE
2003,NBA,Miami Heat,MIA,FALSE
2003,NBA,Milwaukee Bucks,MIL,TRUE
2003,NBA,Minnesota Timberwolves,MIN,TRUE
2003,NBA,New Jersey Nets,NJN,TRUE
2003,NBA,New Orleans Hornets,NOH,TRUE
2003,NBA,New York Knicks,NYK,FALSE
2003,NBA,Orlando Magic,ORL,TRUE
2003,NBA,Philadelphia 76ers,PHI,TRUE
2003,NBA,Phoenix Suns,PHO,TRUE
2003,NBA,Portland Trail Blazers,POR,TRUE
2003,NBA,Sacramento Kings,SAC,TRUE
2003,NBA,San Antonio Spurs,SAS,TRUE
2003,NBA,Seattle SuperSonics,SEA,FALSE
2003,NBA,Toronto Raptors,TOR,FALSE
2003,NBA,Utah Jazz,UTA,TRUE
2003,NBA,Washington Wizards,WAS,FALSE
2002,NBA,Atlanta Hawks,ATL,FALSE
2002,NBA,Boston Celtics,BOS,TRUE
2002,NBA,Charlotte Hornets,CHH,TRUE
2002,NBA,Chicago Bulls,CHI,FALSE
2002,NBA,Cleveland Cavaliers,CLE,FALSE
2002,NBA,Dallas Mavericks,DAL,TRUE
2002,NBA,Denver Nuggets,DEN,FALSE
2002,NBA,Detroit Pistons,DET,TRUE
2002,NBA,Golden State Warriors,GSW,FALSE
2002,NBA,Houston Rockets,HOU,FALSE
2002,NBA,Indiana Pacers,IND,TRUE
2002,NBA,Los Angeles Clippers,LAC,FALSE
2002,NBA,Los Angeles Lakers,LAL,TRUE
2002,NBA,Memphis Grizzlies,MEM,FALSE
2002,NBA,Miami Heat,MIA,FALSE
2002,NBA,Milwaukee Bucks,MIL,FALSE
2002,NBA,Minnesota Timberwolves,MIN,TRUE
2002,NBA,New Jersey Nets,NJN,TRUE
2002,NBA,New York Knicks,NYK,FALSE
2002,NBA,Orlando Magic,ORL,TRUE
2002,NBA,Philadelphia 76ers,PHI,TRUE
2002,NBA,Phoenix Suns,PHO,FALSE
2002,NBA,Portland Trail Blazers,POR,TRUE
2002,NBA,Sacramento Kings,SAC,TRUE
2002,NBA,San Antonio Spurs,SAS,TRUE
2002,NBA,Seattle SuperSonics,SEA,TRUE
2002,NBA,Toronto Raptors,TOR,TRUE
2002,NBA,Utah Jazz,UTA,TRUE
2002,NBA,Washington Wizards,WAS,FALSE
2001,NBA,Atlanta Hawks,ATL,FALSE
2001,NBA,Boston Celtics,BOS,FALSE
2001,NBA,Charlotte Hornets,CHH,TRUE
2001,NBA,Chicago Bulls,CHI,FALSE
2001,NBA,Cleveland Cavaliers,CLE,FALSE
2001,NBA,Dallas Mavericks,DAL,TRUE
2001,NBA,Denver Nuggets,DEN,FALSE
2001,NBA,Detroit Pistons,DET,FALSE
2001,NBA,Golden State Warriors,GSW,FALSE
2001,NBA,Houston Rockets,HOU,FALSE
2001,NBA,Indiana Pacers,IND,TRUE
2001,NBA,Los Angeles Clippers,LAC,FALSE
2001,NBA,Los Angeles Lakers,LAL,TRUE
2001,NBA,Miami Heat,MIA,TRUE
2001,NBA,Milwaukee Bucks,MIL,TRUE
2001,NBA,Minnesota Timberwolves,MIN,TRUE
2001,NBA,New Jersey Nets,NJN,FALSE
2001,NBA,New York Knicks,NYK,TRUE
2001,NBA,Orlando Magic,ORL,TRUE
2001,NBA,Philadelphia 76ers,PHI,TRUE
2001,NBA,Phoenix Suns,PHO,TRUE
2001,NBA,Portland Trail Blazers,POR,TRUE
2001,NBA,Sacramento Kings,SAC,TRUE
2001,NBA,San Antonio Spurs,SAS,TRUE
2001,NBA,Seattle SuperSonics,SEA,FALSE
2001,NBA,Toronto Raptors,TOR,TRUE
2001,NBA,Utah Jazz,UTA,TRUE
2001,NBA,Vancouver Grizzlies,VAN,FALSE
2001,NBA,Washington Wizards,WAS,FALSE
2000,NBA,Atlanta Hawks,ATL,FALSE
2000,NBA,Boston Celtics,BOS,FALSE
2000,NBA,Charlotte Hornets,CHH,TRUE
2000,NBA,Chicago Bulls,CHI,FALSE
2000,NBA,Cleveland Cavaliers,CLE,FALSE
2000,NBA,Dallas Mavericks,DAL,FALSE
2000,NBA,Denver Nuggets,DEN,FALSE
2000,NBA,Detroit Pistons,DET,TRUE
2000,NBA,Golden State Warriors,GSW,FALSE
2000,NBA,Houston Rockets,HOU,FALSE
2000,NBA,Indiana Pacers,IND,TRUE
2000,NBA,Los Angeles Clippers,LAC,FALSE
2000,NBA,Los Angeles Lakers,LAL,TRUE
2000,NBA,Miami Heat,MIA,TRUE
2000,NBA,Milwaukee Bucks,MIL,TRUE
2000,NBA,Minnesota Timberwolves,MIN,TRUE
2000,NBA,New Jersey Nets,NJN,FALSE
2000,NBA,New York Knicks,NYK,TRUE
2000,NBA,Orlando Magic,ORL,FALSE
2000,NBA,Philadelphia 76ers,PHI,TRUE
2000,NBA,Phoenix Suns,PHO,TRUE
2000,NBA,Portland Trail Blazers,POR,TRUE
2000,NBA,Sacramento Kings,SAC,TRUE
2000,NBA,San Antonio Spurs,SAS,TRUE
2000,NBA,Seattle SuperSonics,SEA,TRUE
2000,NBA,Toronto Raptors,TOR,TRUE
2000,NBA,Utah Jazz,UTA,TRUE
2000,NBA,Vancouver Grizzlies,VAN,FALSE
2000,NBA,Washington Wizards,WAS,FALSE
1999,NBA,Atlanta Hawks,ATL,TRUE
1999,NBA,Boston Celtics,BOS,FALSE
1999,NBA,Charlotte Hornets,CHH,FALSE
1999,NBA,Chicago Bulls,CHI,FALSE
1999,NBA,Cleveland Cavaliers,CLE,FALSE
1999,NBA,Dallas Mavericks,DAL,FALSE
1999,NBA,Denver Nuggets,DEN,FALSE
1999,NBA,Detroit Pistons,DET,TRUE
1999,NBA,Golden State Warriors,GSW,FALSE
1999,NBA,Houston Rockets,HOU,TRUE
1999,NBA,Indiana Pacers,IND,TRUE
1999,NBA,Los Angeles Clippers,LAC,FALSE
1999,NBA,Los Angeles Lakers,LAL,TRUE
1999,NBA,Miami Heat,MIA,TRUE
1999,NBA,Milwaukee Bucks,MIL,TRUE
1999,NBA,Minnesota Timberwolves,MIN,TRUE
1999,NBA,New Jersey Nets,NJN,FALSE
1999,NBA,New York Knicks,NYK,TRUE
1999,NBA,Orlando Magic,ORL,TRUE
1999,NBA,Philadelphia 76ers,PHI,TRUE
1999,NBA,Phoenix Suns,PHO,TRUE
1999,NBA,Portland Trail Blazers,POR,TRUE
1999,NBA,Sacramento Kings,SAC,TRUE
1999,NBA,San Antonio Spurs,SAS,TRUE
1999,NBA,Seattle SuperSonics,SEA,FALSE
1999,NBA,Toronto Raptors,TOR,FALSE
1999,NBA,Utah Jazz,UTA,TRUE
1999,NBA,Vancouver Grizzlies,VAN,FALSE
1999,NBA,Washington Wizards,WAS,FALSE
1998,NBA,Atlanta Hawks,ATL,TRUE
1998,NBA,Boston Celtics,BOS,FALSE
1998,NBA,Charlotte Hornets,CHH,TRUE
1998,NBA,Chicago Bulls,CHI,TRUE
1998,NBA,Cleveland Cavaliers,CLE,TRUE
1998,NBA,Dallas Mavericks,DAL,FALSE
1998,NBA,Denver Nuggets,DEN,FALSE
1998,NBA,Detroit Pistons,DET,FALSE
1998,NBA,Golden State Warriors,GSW,FALSE
1998,NBA,Houston Rockets,HOU,TRUE
1998,NBA,Indiana Pacers,IND,TRUE
1998,NBA,Los Angeles Clippers,LAC,FALSE
1998,NBA,Los Angeles Lakers,LAL,TRUE
1998,NBA,Miami Heat,MIA,TRUE
1998,NBA,Milwaukee Bucks,MIL,FALSE
1998,NBA,Minnesota Timberwolves,MIN,TRUE
1998,NBA,New Jersey Nets,NJN,TRUE
1998,NBA,New York Knicks,NYK,TRUE
1998,NBA,Orlando Magic,ORL,FALSE
1998,NBA,Philadelphia 76ers,PHI,FALSE
1998,NBA,Phoenix Suns,PHO,TRUE
1998,NBA,Portland Trail Blazers,POR,TRUE
1998,NBA,Sacramento Kings,SAC,FALSE
1998,NBA,San Antonio Spurs,SAS,TRUE
1998,NBA,Seattle SuperSonics,SEA,TRUE
1998,NBA,Toronto Raptors,TOR,FALSE
1998,NBA,Utah Jazz,UTA,TRUE
1998,NBA,Vancouver Grizzlies,VAN,FALSE
1998,NBA,Washington Wizards,WAS,FALSE
1997,NBA,Atlanta Hawks,ATL,TRUE
1997,NBA,Boston Celtics,BOS,FALSE
1997,NBA,Charlotte Hornets,CHH,TRUE
1997,NBA,Chicago Bulls,CHI,TRUE
1997,NBA,Cleveland Cavaliers,CLE,FALSE
1997,NBA,Dallas Mavericks,DAL,FALSE
1997,NBA,Denver Nuggets,DEN,FALSE
1997,NBA,Detroit Pistons,DET,TRUE
1997,NBA,Golden State Warriors,GSW,FALSE
1997,NBA,Houston Rockets,HOU,TRUE
1997,NBA,Indiana Pacers,IND,FALSE
1997,NBA,Los Angeles Clippers,LAC,TRUE
1997,NBA,Los Angeles Lakers,LAL,TRUE
1997,NBA,Miami Heat,MIA,TRUE
1997,NBA,Milwaukee Bucks,MIL,FALSE
1997,NBA,Minnesota Timberwolves,MIN,TRUE
1997,NBA,New Jersey Nets,NJN,FALSE
1997,NBA,New York Knicks,NYK,TRUE
1997,NBA,Orlando Magic,ORL,TRUE
1997,NBA,Philadelphia 76ers,PHI,FALSE
1997,NBA,Phoenix Suns,PHO,TRUE
1997,NBA,Portland Trail Blazers,POR,TRUE
1997,NBA,Sacramento Kings,SAC,FALSE
1997,NBA,San Antonio Spurs,SAS,FALSE
1997,NBA,Seattle SuperSonics,SEA,TRUE
1997,NBA,Toronto Raptors,TOR,FALSE
1997,NBA,Utah Jazz,UTA,TRUE
1997,NBA,Vancouver Grizzlies,VAN,FALSE
1997,NBA,Washington Bullets,WSB,TRUE
1996,NBA,Atlanta Hawks,ATL,TRUE
1996,NBA,Boston Celtics,BOS,FALSE
1996,NBA,Charlotte Hornets,CHH,FALSE
1996,NBA,Chicago Bulls,CHI,TRUE
1996,NBA,Cleveland Cavaliers,CLE,TRUE
1996,NBA,Dallas Mavericks,DAL,FALSE
1996,NBA,Denver Nuggets,DEN,FALSE
1996,NBA,Detroit Pistons,DET,TRUE
1996,NBA,Golden State Warriors,GSW,FALSE
1996,NBA,Houston Rockets,HOU,TRUE
1996,NBA,Indiana Pacers,IND,TRUE
1996,NBA,Los Angeles Clippers,LAC,FALSE
1996,NBA,Los Angeles Lakers,LAL,TRUE
1996,NBA,Miami Heat,MIA,TRUE
1996,NBA,Milwaukee Bucks,MIL,FALSE
1996,NBA,Minnesota Timberwolves,MIN,FALSE
1996,NBA,New Jersey Nets,NJN,FALSE
1996,NBA,New York Knicks,NYK,TRUE
1996,NBA,Orlando Magic,ORL,TRUE
1996,NBA,Philadelphia 76ers,PHI,FALSE
1996,NBA,Phoenix Suns,PHO,TRUE
1996,NBA,Portland Trail Blazers,POR,TRUE
1996,NBA,Sacramento Kings,SAC,TRUE
1996,NBA,San Antonio Spurs,SAS,TRUE
1996,NBA,Seattle SuperSonics,SEA,TRUE
1996,NBA,Toronto Raptors,TOR,FALSE
1996,NBA,Utah Jazz,UTA,TRUE
1996,NBA,Vancouver Grizzlies,VAN,FALSE
1996,NBA,Washington Bullets,WSB,FALSE
1995,NBA,Atlanta Hawks,ATL,TRUE
1995,NBA,Boston Celtics,BOS,TRUE
1995,NBA,Charlotte Hornets,CHH,TRUE
1995,NBA,Chicago Bulls,CHI,TRUE
1995,NBA,Cleveland Cavaliers,CLE,TRUE
1995,NBA,Dallas Mavericks,DAL,FALSE
1995,NBA,Denver Nuggets,DEN,TRUE
1995,NBA,Detroit Pistons,DET,FALSE
1995,NBA,Golden State Warriors,GSW,FALSE
1995,NBA,Houston Rockets,HOU,TRUE
1995,NBA,Indiana Pacers,IND,TRUE
1995,NBA,Los Angeles Clippers,LAC,FALSE
1995,NBA,Los Angeles Lakers,LAL,TRUE
1995,NBA,Miami Heat,MIA,FALSE
1995,NBA,Milwaukee Bucks,MIL,FALSE
1995,NBA,Minnesota Timberwolves,MIN,FALSE
1995,NBA,New Jersey Nets,NJN,FALSE
1995,NBA,New York Knicks,NYK,TRUE
1995,NBA,Orlando Magic,ORL,TRUE
1995,NBA,Philadelphia 76ers,PHI,FALSE
1995,NBA,Phoenix Suns,PHO,TRUE
1995,NBA,Portland Trail Blazers,POR,TRUE
1995,NBA,Sacramento Kings,SAC,FALSE
1995,NBA,San Antonio Spurs,SAS,TRUE
1995,NBA,Seattle SuperSonics,SEA,TRUE
1995,NBA,Utah Jazz,UTA,TRUE
1995,NBA,Washington Bullets,WSB,FALSE
1994,NBA,Atlanta Hawks,ATL,TRUE
1994,NBA,Boston Celtics,BOS,FALSE
1994,NBA,Charlotte Hornets,CHH,FALSE
1994,NBA,Chicago Bulls,CHI,TRUE
1994,NBA,Cleveland Cavaliers,CLE,TRUE
1994,NBA,Dallas Mavericks,DAL,FALSE
1994,NBA,Denver Nuggets,DEN,TRUE
1994,NBA,Detroit Pistons,DET,FALSE
1994,NBA,Golden State Warriors,GSW,TRUE
1994,NBA,Houston Rockets,HOU,TRUE
1994,NBA,Indiana Pacers,IND,TRUE
1994,NBA,Los Angeles Clippers,LAC,FALSE
1994,NBA,Los Angeles Lakers,LAL,FALSE
1994,NBA,Miami Heat,MIA,TRUE
1994,NBA,Milwaukee Bucks,MIL,FALSE
1994,NBA,Minnesota Timberwolves,MIN,FALSE
1994,NBA,New Jersey Nets,NJN,TRUE
1994,NBA,New York Knicks,NYK,TRUE
1994,NBA,Orlando Magic,ORL,TRUE
1994,NBA,Philadelphia 76ers,PHI,FALSE
1994,NBA,Phoenix Suns,PHO,TRUE
1994,NBA,Portland Trail Blazers,POR,TRUE
1994,NBA,Sacramento Kings,SAC,FALSE
1994,NBA,San Antonio Spurs,SAS,TRUE
1994,NBA,Seattle SuperSonics,SEA,TRUE
1994,NBA,Utah Jazz,UTA,TRUE
1994,NBA,Washington Bullets,WSB,FALSE
1993,NBA,Atlanta Hawks,ATL,TRUE
1993,NBA,Boston Celtics,BOS,TRUE
1993,NBA,Charlotte Hornets,CHH,TRUE
1993,NBA,Chicago Bulls,CHI,TRUE
1993,NBA,Cleveland Cavaliers,CLE,TRUE
1993,NBA,Dallas Mavericks,DAL,FALSE
1993,NBA,Denver Nuggets,DEN,FALSE
1993,NBA,Detroit Pistons,DET,FALSE
1993,NBA,Golden State Warriors,GSW,FALSE
1993,NBA,Houston Rockets,HOU,TRUE
1993,NBA,Indiana Pacers,IND,TRUE
1993,NBA,Los Angeles Clippers,LAC,TRUE
1993,NBA,Los Angeles Lakers,LAL,TRUE
1993,NBA,Miami Heat,MIA,FALSE
1993,NBA,Milwaukee Bucks,MIL,FALSE
1993,NBA,Minnesota Timberwolves,MIN,FALSE
1993,NBA,New Jersey Nets,NJN,TRUE
1993,NBA,New York Knicks,NYK,TRUE
1993,NBA,Orlando Magic,ORL,FALSE
1993,NBA,Philadelphia 76ers,PHI,FALSE
1993,NBA,Phoenix Suns,PHO,TRUE
1993,NBA,Portland Trail Blazers,POR,TRUE
1993,NBA,Sacramento Kings,SAC,FALSE
1993,NBA,San Antonio Spurs,SAS,TRUE
1993,NBA,Seattle SuperSonics,SEA,TRUE
1993,NBA,Utah Jazz,UTA,TRUE
1993,NBA,Washington Bullets,WSB,FALSE
1992,NBA,Atlanta Hawks,ATL,FALSE
1992,NBA,Boston Celtics,BOS,TRUE
1992,NBA,Charlotte Hornets,CHH,FALSE
1992,NBA,Chicago Bulls,CHI,TRUE
1992,NBA,Cleveland Cavaliers,CLE,TRUE
1992,NBA,Dallas Mavericks,DAL,FALSE
1992,NBA,Denver Nuggets,DEN,FALSE
1992,NBA,Detroit Pistons,DET,TRUE
1992,NBA,Golden State Warriors,GSW,TRUE
1992,NBA,Houston Rockets,HOU,FALSE
1992,NBA,Indiana Pacers,IND,TRUE
1992,NBA,Los Angeles Clippers,LAC,TRUE
1992,NBA,Los Angeles Lakers,LAL,TRUE
1992,NBA,Miami Heat,MIA,TRUE
1992,NBA,Milwaukee Bucks,MIL,FALSE
1992,NBA,Minnesota Timberwolves,MIN,FALSE
1992,NBA,New Jersey Nets,NJN,TRUE
1992,NBA,New York Knicks,NYK,TRUE
1992,NBA,Orlando Magic,ORL,FALSE
1992,NBA,Philadelphia 76ers,PHI,FALSE
1992,NBA,Phoenix Suns,PHO,TRUE
1992,NBA,Portland Trail Blazers,POR,TRUE
1992,NBA,Sacramento Kings,SAC,FALSE
1992,NBA,San Antonio Spurs,SAS,TRUE
1992,NBA,Seattle SuperSonics,SEA,TRUE
1992,NBA,Utah Jazz,UTA,TRUE
1992,NBA,Washington Bullets,WSB,FALSE
1991,NBA,Atlanta Hawks,ATL,TRUE
1991,NBA,Boston Celtics,BOS,TRUE
1991,NBA,Charlotte Hornets,CHH,FALSE
1991,NBA,Chicago Bulls,CHI,TRUE
1991,NBA,Cleveland Cavaliers,CLE,FALSE
1991,NBA,Dallas Mavericks,DAL,FALSE
1991,NBA,Denver Nuggets,DEN,FALSE
1991,NBA,Detroit Pistons,DET,TRUE
1991,NBA,Golden State Warriors,GSW,TRUE
1991,NBA,Houston Rockets,HOU,TRUE
1991,NBA,Indiana Pacers,IND,TRUE
1991,NBA,Los Angeles Clippers,LAC,FALSE
1991,NBA,Los Angeles Lakers,LAL,TRUE
1991,NBA,Miami Heat,MIA,FALSE
1991,NBA,Milwaukee Bucks,MIL,TRUE
1991,NBA,Minnesota Timberwolves,MIN,FALSE
1991,NBA,New Jersey Nets,NJN,FALSE
1991,NBA,New York Knicks,NYK,TRUE
1991,NBA,Orlando Magic,ORL,FALSE
1991,NBA,Philadelphia 76ers,PHI,TRUE
1991,NBA,Phoenix Suns,PHO,TRUE
1991,NBA,Portland Trail Blazers,POR,TRUE
1991,NBA,Sacramento Kings,SAC,FALSE
1991,NBA,San Antonio Spurs,SAS,TRUE
1991,NBA,Seattle SuperSonics,SEA,TRUE
1991,NBA,Utah Jazz,UTA,TRUE
1991,NBA,Washington Bullets,WSB,FALSE
1990,NBA,Atlanta Hawks,ATL,FALSE
1990,NBA,Boston Celtics,BOS,TRUE
1990,NBA,Charlotte Hornets,CHH,FALSE
1990,NBA,Chicago Bulls,CHI,TRUE
1990,NBA,Cleveland Cavaliers,CLE,TRUE
1990,NBA,Dallas Mavericks,DAL,TRUE
1990,NBA,Denver Nuggets,DEN,TRUE
1990,NBA,Detroit Pistons,DET,TRUE
1990,NBA,Golden State Warriors,GSW,FALSE
1990,NBA,Houston Rockets,HOU,TRUE
1990,NBA,Indiana Pacers,IND,TRUE
1990,NBA,Los Angeles Clippers,LAC,FALSE
1990,NBA,Los Angeles Lakers,LAL,TRUE
1990,NBA,Miami Heat,MIA,FALSE
1990,NBA,Milwaukee Bucks,MIL,TRUE
1990,NBA,Minnesota Timberwolves,MIN,FALSE
1990,NBA,New Jersey Nets,NJN,FALSE
1990,NBA,New York Knicks,NYK,TRUE
1990,NBA,Orlando Magic,ORL,FALSE
1990,NBA,Philadelphia 76ers,PHI,TRUE
1990,NBA,Phoenix Suns,PHO,TRUE
1990,NBA,Portland Trail Blazers,POR,TRUE
1990,NBA,Sacramento Kings,SAC,FALSE
1990,NBA,San Antonio Spurs,SAS,TRUE
1990,NBA,Seattle SuperSonics,SEA,FALSE
1990,NBA,Utah Jazz,UTA,TRUE
1990,NBA,Washington Bullets,WSB,FALSE
1989,NBA,Atlanta Hawks,ATL,TRUE
1989,NBA,Boston Celtics,BOS,TRUE
1989,NBA,Charlotte Hornets,CHH,FALSE
1989,NBA,Chicago Bulls,CHI,TRUE
1989,NBA,Cleveland Cavaliers,CLE,TRUE
1989,NBA,Dallas Mavericks,DAL,FALSE
1989,NBA,Denver Nuggets,DEN,TRUE
1989,NBA,Detroit Pistons,DET,TRUE
1989,NBA,Golden State Warriors,GSW,TRUE
1989,NBA,Houston Rockets,HOU,TRUE
1989,NBA,Indiana Pacers,IND,FALSE
1989,NBA,Los Angeles Clippers,LAC,FALSE
1989,NBA,Los Angeles Lakers,LAL,TRUE
1989,NBA,Miami Heat,MIA,FALSE
1989,NBA,Milwaukee Bucks,MIL,TRUE
1989,NBA,New Jersey Nets,NJN,FALSE
1989,NBA,New York Knicks,NYK,TRUE
1989,NBA,Philadelphia 76ers,PHI,TRUE
1989,NBA,Phoenix Suns,PHO,TRUE
1989,NBA,Portland Trail Blazers,POR,TRUE
1989,NBA,Sacramento Kings,SAC,FALSE
1989,NBA,San Antonio Spurs,SAS,FALSE
1989,NBA,Seattle SuperSonics,SEA,TRUE
1989,NBA,Utah Jazz,UTA,TRUE
1989,NBA,Washington Bullets,WSB,FALSE
1988,NBA,Atlanta Hawks,ATL,TRUE
1988,NBA,Boston Celtics,BOS,TRUE
1988,NBA,Chicago Bulls,CHI,TRUE
1988,NBA,Cleveland Cavaliers,CLE,TRUE
1988,NBA,Dallas Mavericks,DAL,TRUE
1988,NBA,Denver Nuggets,DEN,TRUE
1988,NBA,Detroit Pistons,DET,TRUE
1988,NBA,Golden State Warriors,GSW,FALSE
1988,NBA,Houston Rockets,HOU,TRUE
1988,NBA,Indiana Pacers,IND,FALSE
1988,NBA,Los Angeles Clippers,LAC,FALSE
1988,NBA,Los Angeles Lakers,LAL,TRUE
1988,NBA,Milwaukee Bucks,MIL,TRUE
1988,NBA,New Jersey Nets,NJN,FALSE
1988,NBA,New York Knicks,NYK,TRUE
1988,NBA,Philadelphia 76ers,PHI,FALSE
1988,NBA,Phoenix Suns,PHO,FALSE
1988,NBA,Portland Trail Blazers,POR,TRUE
