player,player_id,team,season,lg,replaced
Tony Parker,parketo01,West,2007,NBA,FALSE
Amar'e Stoudemire,stoudam01,West,2007,NBA,FALSE
Gilbert Arenas,arenagi01,East,2006,NBA,TRUE
Chauncey Billups,billuch01,East,2006,NBA,FALSE
Chris Bosh,boshch01,East,2006,NBA,FALSE
Vince Carter,cartevi01,East,2006,NBA,FALSE
Richard Hamilton,hamilri01,East,2006,NBA,FALSE
Allen Iverson,iversal01,East,2006,NBA,FALSE
LeBron James,jamesle01,East,2006,NBA,FALSE
Jermaine O'Neal,onealje01,East,2006,NBA,TRUE
Shaquille O'Neal,onealsh01,East,2006,NBA,FALSE
Paul Pierce,piercpa01,East,2006,NBA,FALSE
Dwyane Wade,wadedw01,East,2006,NBA,FALSE
Ben Wallace,wallabe01,East,2006,NBA,FALSE
Rasheed Wallace,wallara01,East,2006,NBA,FALSE
Ray Allen,allenra02,West,2006,NBA,FALSE
Elton Brand,brandel01,West,2006,NBA,FALSE
Kobe Bryant,bryanko01,West,2006,NBA,FALSE
Tim Duncan,duncati01,West,2006,NBA,FALSE
Kevin Garnett,garneke01,West,2006,NBA,FALSE
Pau Gasol,gasolpa01,West,2006,NBA,FALSE
Shawn Marion,mariosh01,West,2006,NBA,FALSE
Tracy McGrady,mcgratr01,West,2006,NBA,FALSE
Yao Ming,mingya01,West,2006,NBA,FALSE
Steve Nash,nashst01,West,2006,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2006,NBA,FALSE
Tony Parker,parketo01,West,2006,NBA,FALSE
Gilbert Arenas,arenagi01,East,2005,NBA,FALSE
Vince Carter,cartevi01,East,2005,NBA,FALSE
Grant Hill,hillgr01,East,2005,NBA,FALSE
Zydrunas Ilgauskas,ilgauzy01,East,2005,NBA,FALSE
Allen Iverson,iversal01,East,2005,NBA,FALSE
LeBron James,jamesle01,East,2005,NBA,FALSE
Antawn Jamison,jamisan01,East,2005,NBA,FALSE
Jermaine O'Neal,onealje01,East,2005,NBA,FALSE
Shaquille O'Neal,onealsh01,East,2005,NBA,FALSE
Paul Pierce,piercpa01,East,2005,NBA,FALSE
Dwyane Wade,wadedw01,East,2005,NBA,FALSE
Ben Wallace,wallabe01,East,2005,NBA,FALSE
Ray Allen,allenra02,West,2005,NBA,FALSE
Kobe Bryant,bryanko01,West,2005,NBA,FALSE
Tim Duncan,duncati01,West,2005,NBA,FALSE
Kevin Garnett,garneke01,West,2005,NBA,FALSE
Manu Ginóbili,ginobma01,West,2005,NBA,FALSE
Rashard Lewis,lewisra02,West,2005,NBA,FALSE
Shawn Marion,mariosh01,West,2005,NBA,FALSE
Tracy McGrady,mcgratr01,West,2005,NBA,FALSE
Yao Ming,mingya01,West,2005,NBA,FALSE
Steve Nash,nashst01,West,2005,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2005,NBA,FALSE
Amar'e Stoudemire,stoudam01,West,2005,NBA,FALSE
Metta World Peace,artesro01,East,2004,NBA,FALSE
Vince Carter,cartevi01,East,2004,NBA,FALSE
Baron Davis,davisba01,East,2004,NBA,FALSE
Allen Iverson,iversal01,East,2004,NBA,FALSE
Jason Kidd,kiddja01,East,2004,NBA,FALSE
Jamaal Magloire,magloja01,East,2004,NBA,FALSE
Kenyon Martin,martike01,East,2004,NBA,FALSE
Tracy McGrady,mcgratr01,East,2004,NBA,FALSE
Jermaine O'Neal,onealje01,East,2004,NBA,FALSE
Paul Pierce,piercpa01,East,2004,NBA,FALSE
Michael Redd,reddmi01,East,2004,NBA,FALSE
Ben Wallace,wallabe01,East,2004,NBA,FALSE
Ray Allen,allenra02,West,2004,NBA,FALSE
Kobe Bryant,bryanko01,West,2004,NBA,FALSE
Sam Cassell,cassesa01,West,2004,NBA,FALSE
Tim Duncan,duncati01,West,2004,NBA,FALSE
Steve Francis,francst01,West,2004,NBA,FALSE
Kevin Garnett,garneke01,West,2004,NBA,FALSE
Andrei Kirilenko,kirilan01,West,2004,NBA,FALSE
Brad Miller,millebr01,West,2004,NBA,FALSE
Yao Ming,mingya01,West,2004,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2004,NBA,FALSE
Shaquille O'Neal,onealsh01,West,2004,NBA,FALSE
Peja Stojaković,stojape01,West,2004,NBA,FALSE
Vince Carter,cartevi01,East,2003,NBA,FALSE
Zydrunas Ilgauskas,ilgauzy01,East,2003,NBA,FALSE
Allen Iverson,iversal01,East,2003,NBA,FALSE
Michael Jordan,jordami01,East,2003,NBA,FALSE
Jason Kidd,kiddja01,East,2003,NBA,FALSE
Jamal Mashburn,mashbja01,East,2003,NBA,FALSE
Tracy McGrady,mcgratr01,East,2003,NBA,FALSE
Brad Miller,millebr01,East,2003,NBA,FALSE
Jermaine O'Neal,onealje01,East,2003,NBA,FALSE
Paul Pierce,piercpa01,East,2003,NBA,FALSE
Antoine Walker,walkean02,East,2003,NBA,FALSE
Ben Wallace,wallabe01,East,2003,NBA,FALSE
Kobe Bryant,bryanko01,West,2003,NBA,FALSE
Tim Duncan,duncati01,West,2003,NBA,FALSE
Steve Francis,francst01,West,2003,NBA,FALSE
Kevin Garnett,garneke01,West,2003,NBA,FALSE
Stephon Marbury,marbust01,West,2003,NBA,FALSE
Shawn Marion,mariosh01,West,2003,NBA,FALSE
Yao Ming,mingya01,West,2003,NBA,FALSE
Steve Nash,nashst01,West,2003,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2003,NBA,FALSE
Shaquille O'Neal,onealsh01,West,2003,NBA,FALSE
Gary Payton,paytoga01,West,2003,NBA,FALSE
Peja Stojaković,stojape01,West,2003,NBA,TRUE
Chris Webber,webbech01,West,2003,NBA,TRUE
Shareef Abdur-Rahim,abdursh01,East,2002,NBA,FALSE
Ray Allen,allenra02,East,2002,NBA,FALSE
Vince Carter,cartevi01,East,2002,NBA,TRUE
Baron Davis,davisba01,East,2002,NBA,TRUE
Allen Iverson,iversal01,East,2002,NBA,FALSE
Michael Jordan,jordami01,East,2002,NBA,FALSE
Jason Kidd,kiddja01,East,2002,NBA,FALSE
Tracy McGrady,mcgratr01,East,2002,NBA,FALSE
Alonzo Mourning,mournal01,East,2002,NBA,FALSE
Dikembe Mutombo,mutomdi01,East,2002,NBA,FALSE
Jermaine O'Neal,onealje01,East,2002,NBA,FALSE
Paul Pierce,piercpa01,East,2002,NBA,FALSE
Antoine Walker,walkean02,East,2002,NBA,FALSE
Elton Brand,brandel01,West,2002,NBA,TRUE
Kobe Bryant,bryanko01,West,2002,NBA,FALSE
Tim Duncan,duncati01,West,2002,NBA,FALSE
Steve Francis,francst01,West,2002,NBA,FALSE
Kevin Garnett,garneke01,West,2002,NBA,FALSE
Karl Malone,malonka01,West,2002,NBA,TRUE
Steve Nash,nashst01,West,2002,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2002,NBA,FALSE
Shaquille O'Neal,onealsh01,West,2002,NBA,TRUE
Gary Payton,paytoga01,West,2002,NBA,FALSE
Peja Stojaković,stojape01,West,2002,NBA,FALSE
Wally Szczerbiak,szczewa02,West,2002,NBA,FALSE
Chris Webber,webbech01,West,2002,NBA,FALSE
Ray Allen,allenra02,East,2001,NBA,FALSE
Vince Carter,cartevi01,East,2001,NBA,FALSE
Antonio Davis,davisan01,East,2001,NBA,TRUE
Grant Hill,hillgr01,East,2001,NBA,TRUE
Allan Houston,houstal01,East,2001,NBA,FALSE
Allen Iverson,iversal01,East,2001,NBA,FALSE
Stephon Marbury,marbust01,East,2001,NBA,FALSE
Anthony Mason,masonan01,East,2001,NBA,FALSE
Tracy McGrady,mcgratr01,East,2001,NBA,FALSE
Alonzo Mourning,mournal01,East,2001,NBA,TRUE
Dikembe Mutombo,mutomdi01,East,2001,NBA,TRUE
Theo Ratliff,ratlith01,East,2001,NBA,TRUE
Glenn Robinson,robingl01,East,2001,NBA,FALSE
Latrell Sprewell,sprewla01,East,2001,NBA,TRUE
Jerry Stackhouse,stackje01,East,2001,NBA,FALSE
Kobe Bryant,bryanko01,West,2001,NBA,FALSE
Vlade Divac,divacvl01,West,2001,NBA,TRUE
Tim Duncan,duncati01,West,2001,NBA,FALSE
Michael Finley,finlemi01,West,2001,NBA,FALSE
Kevin Garnett,garneke01,West,2001,NBA,FALSE
Jason Kidd,kiddja01,West,2001,NBA,FALSE
Karl Malone,malonka01,West,2001,NBA,FALSE
Antonio McDyess,mcdyean01,West,2001,NBA,FALSE
Shaquille O'Neal,onealsh01,West,2001,NBA,TRUE
Gary Payton,paytoga01,West,2001,NBA,FALSE
David Robinson,robinda01,West,2001,NBA,FALSE
Rasheed Wallace,wallara01,West,2001,NBA,FALSE
Chris Webber,webbech01,West,2001,NBA,FALSE
Ray Allen,allenra02,East,2000,NBA,FALSE
Vince Carter,cartevi01,East,2000,NBA,FALSE
Dale Davis,davisda01,East,2000,NBA,FALSE
Grant Hill,hillgr01,East,2000,NBA,FALSE
Allan Houston,houstal01,East,2000,NBA,FALSE
Allen Iverson,iversal01,East,2000,NBA,FALSE
Eddie Jones,jonesed02,East,2000,NBA,FALSE
Reggie Miller,millere01,East,2000,NBA,FALSE
Alonzo Mourning,mournal01,East,2000,NBA,FALSE
Dikembe Mutombo,mutomdi01,East,2000,NBA,FALSE
Glenn Robinson,robingl01,East,2000,NBA,FALSE
Jerry Stackhouse,stackje01,East,2000,NBA,FALSE
Kobe Bryant,bryanko01,West,2000,NBA,FALSE
Tim Duncan,duncati01,West,2000,NBA,FALSE
Michael Finley,finlemi01,West,2000,NBA,FALSE
Kevin Garnett,garneke01,West,2000,NBA,FALSE
Jason Kidd,kiddja01,West,2000,NBA,FALSE
Karl Malone,malonka01,West,2000,NBA,FALSE
Shaquille O'Neal,onealsh01,West,2000,NBA,FALSE
Gary Payton,paytoga01,West,2000,NBA,FALSE
David Robinson,robinda01,West,2000,NBA,FALSE
John Stockton,stockjo01,West,2000,NBA,FALSE
Rasheed Wallace,wallara01,West,2000,NBA,FALSE
Chris Webber,webbech01,West,2000,NBA,FALSE
Anfernee Hardaway,hardaan01,East,1998,NBA,FALSE
Tim Hardaway,hardati01,East,1998,NBA,FALSE
Grant Hill,hillgr01,East,1998,NBA,FALSE
Michael Jordan,jordami01,East,1998,NBA,FALSE
Shawn Kemp,kempsh01,East,1998,NBA,FALSE
Reggie Miller,millere01,East,1998,NBA,FALSE
Dikembe Mutombo,mutomdi01,East,1998,NBA,FALSE
Glen Rice,ricegl01,East,1998,NBA,FALSE
Steve Smith,smithst01,East,1998,NBA,FALSE
Rik Smits,smitsri01,East,1998,NBA,FALSE
Antoine Walker,walkean02,East,1998,NBA,FALSE
Jayson Williams,willija01,East,1998,NBA,FALSE
Vin Baker,bakervi01,West,1998,NBA,FALSE
Kobe Bryant,bryanko01,West,1998,NBA,FALSE
Tim Duncan,duncati01,West,1998,NBA,FALSE
Kevin Garnett,garneke01,West,1998,NBA,FALSE
Eddie Jones,jonesed02,West,1998,NBA,FALSE
Jason Kidd,kiddja01,West,1998,NBA,FALSE
Karl Malone,malonka01,West,1998,NBA,FALSE
Shaquille O'Neal,onealsh01,West,1998,NBA,FALSE
Gary Payton,paytoga01,West,1998,NBA,FALSE
Mitch Richmond,richmmi01,West,1998,NBA,FALSE
David Robinson,robinda01,West,1998,NBA,FALSE
Nick Van Exel,vanexni01,West,1998,NBA,FALSE
Vin Baker,bakervi01,East,1997,NBA,FALSE
Terrell Brandon,brandte01,East,1997,NBA,FALSE
Joe Dumars,dumarjo01,East,1997,NBA,TRUE
Patrick Ewing,ewingpa01,East,1997,NBA,TRUE
Anfernee Hardaway,hardaan01,East,1997,NBA,FALSE
Tim Hardaway,hardati01,East,1997,NBA,FALSE
Grant Hill,hillgr01,East,1997,NBA,FALSE
Michael Jordan,jordami01,East,1997,NBA,FALSE
Christian Laettner,laettch01,East,1997,NBA,FALSE
Alonzo Mourning,mournal01,East,1997,NBA,TRUE
Dikembe Mutombo,mutomdi01,East,1997,NBA,FALSE
Scottie Pippen,pippesc01,East,1997,NBA,FALSE
Glen Rice,ricegl01,East,1997,NBA,FALSE
Chris Webber,webbech01,East,1997,NBA,TRUE
Charles Barkley,barklch01,West,1997,NBA,TRUE
Clyde Drexler,drexlcl01,West,1997,NBA,TRUE
Kevin Garnett,garneke01,West,1997,NBA,TRUE
Chris Gatling,gatlich01,West,1997,NBA,TRUE
Tom Gugliotta,guglito01,West,1997,NBA,FALSE
Eddie Jones,jonesed02,West,1997,NBA,FALSE
Shawn Kemp,kempsh01,West,1997,NBA,FALSE
Karl Malone,malonka01,West,1997,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1997,NBA,FALSE
Shaquille O'Neal,onealsh01,West,1997,NBA,TRUE
Gary Payton,paytoga01,West,1997,NBA,FALSE
Mitch Richmond,richmmi01,West,1997,NBA,FALSE
Detlef Schrempf ,schrede01,West,1997,NBA,TRUE
Latrell Sprewell,sprewla01,West,1997,NBA,FALSE
John Stockton,stockjo01,West,1997,NBA,FALSE
Vin Baker,bakervi01,East,1996,NBA,FALSE
Terrell Brandon,brandte01,East,1996,NBA,FALSE
Patrick Ewing,ewingpa01,East,1996,NBA,FALSE
Anfernee Hardaway,hardaan01,East,1996,NBA,FALSE
Grant Hill,hillgr01,East,1996,NBA,FALSE
Juwan Howard,howarju01,East,1996,NBA,FALSE
Michael Jordan,jordami01,East,1996,NBA,FALSE
Reggie Miller,millere01,East,1996,NBA,FALSE
Alonzo Mourning,mournal01,East,1996,NBA,FALSE
Shaquille O'Neal,onealsh01,East,1996,NBA,FALSE
Scottie Pippen,pippesc01,East,1996,NBA,FALSE
Glen Rice,ricegl01,East,1996,NBA,FALSE
Charles Barkley,barklch01,West,1996,NBA,FALSE
Clyde Drexler,drexlcl01,West,1996,NBA,FALSE
Sean Elliott,elliose01,West,1996,NBA,FALSE
Shawn Kemp,kempsh01,West,1996,NBA,FALSE
Jason Kidd,kiddja01,West,1996,NBA,FALSE
Karl Malone,malonka01,West,1996,NBA,FALSE
Dikembe Mutombo,mutomdi01,West,1996,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1996,NBA,FALSE
Gary Payton,paytoga01,West,1996,NBA,FALSE
Mitch Richmond,richmmi01,West,1996,NBA,FALSE
David Robinson,robinda01,West,1996,NBA,FALSE
John Stockton,stockjo01,West,1996,NBA,FALSE
Vin Baker,bakervi01,East,1995,NBA,FALSE
Dana Barros,barroda01,East,1995,NBA,FALSE
Joe Dumars,dumarjo01,East,1995,NBA,FALSE
Patrick Ewing,ewingpa01,East,1995,NBA,FALSE
Anfernee Hardaway,hardaan01,East,1995,NBA,FALSE
Grant Hill,hillgr01,East,1995,NBA,FALSE
Tyrone Hill,hillty01,East,1995,NBA,FALSE
Larry Johnson,johnsla02,East,1995,NBA,FALSE
Reggie Miller,millere01,East,1995,NBA,FALSE
Alonzo Mourning,mournal01,East,1995,NBA,FALSE
Shaquille O'Neal,onealsh01,East,1995,NBA,FALSE
Scottie Pippen,pippesc01,East,1995,NBA,FALSE
Charles Barkley,barklch01,West,1995,NBA,FALSE
Cedric Ceballos,cebalce01,West,1995,NBA,TRUE
Shawn Kemp,kempsh01,West,1995,NBA,FALSE
Dan Majerle,majerda01,West,1995,NBA,FALSE
Karl Malone,malonka01,West,1995,NBA,FALSE
Dikembe Mutombo,mutomdi01,West,1995,NBA,TRUE
Hakeem Olajuwon,olajuha01,West,1995,NBA,FALSE
Gary Payton,paytoga01,West,1995,NBA,FALSE
Mitch Richmond,richmmi01,West,1995,NBA,FALSE
David Robinson,robinda01,West,1995,NBA,FALSE
Detlef Schrempf,schrede01,West,1995,NBA,FALSE
Latrell Sprewell,sprewla01,West,1995,NBA,FALSE
John Stockton,stockjo01,West,1995,NBA,FALSE
Kenny Anderson,anderke01,East,1994,NBA,FALSE
B.J. Armstrong,armstbj01,East,1994,NBA,FALSE
Mookie Blaylock,blaylmo01,East,1994,NBA,FALSE
Derrick Coleman,colemde01,East,1994,NBA,FALSE
Patrick Ewing,ewingpa01,East,1994,NBA,FALSE
Horace Grant,grantho01,East,1994,NBA,FALSE
Alonzo Mourning,mournal01,East,1994,NBA,TRUE
Charles Oakley,oaklech01,East,1994,NBA,TRUE
Shaquille O'Neal,onealsh01,East,1994,NBA,FALSE
Scottie Pippen,pippesc01,East,1994,NBA,FALSE
Mark Price,pricema01,East,1994,NBA,FALSE
John Starks,starkjo01,East,1994,NBA,FALSE
Dominique Wilkins,wilkido01,East,1994,NBA,FALSE
Charles Barkley,barklch01,West,1994,NBA,TRUE
Clyde Drexler,drexlcl01,West,1994,NBA,FALSE
Kevin Johnson,johnske02,West,1994,NBA,FALSE
Shawn Kemp,kempsh01,West,1994,NBA,FALSE
Karl Malone,malonka01,West,1994,NBA,FALSE
Danny Manning,mannida01,West,1994,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1994,NBA,FALSE
Gary Payton,paytoga01,West,1994,NBA,TRUE
Mitch Richmond,richmmi01,West,1994,NBA,FALSE
Clifford Robinson,robincl02,West,1994,NBA,FALSE
David Robinson,robinda01,West,1994,NBA,FALSE
Latrell Sprewell,sprewla01,West,1994,NBA,FALSE
John Stockton,stockjo01,West,1994,NBA,FALSE
Brad Daugherty,daughbr01,East,1993,NBA,FALSE
Joe Dumars,dumarjo01,East,1993,NBA,FALSE
Patrick Ewing,ewingpa01,East,1993,NBA,FALSE
Larry Johnson,johnsla02,East,1993,NBA,FALSE
Michael Jordan,jordami01,East,1993,NBA,FALSE
Larry Nance,nancela01,East,1993,NBA,FALSE
Shaquille O'Neal,onealsh01,East,1993,NBA,FALSE
Scottie Pippen,pippesc01,East,1993,NBA,FALSE
Mark Price,pricema01,East,1993,NBA,FALSE
Detlef Schrempf,schrede01,East,1993,NBA,FALSE
Isiah Thomas,thomais01,East,1993,NBA,FALSE
Dominique Wilkins,wilkido01,East,1993,NBA,FALSE
Charles Barkley,barklch01,West,1993,NBA,FALSE
Clyde Drexler,drexlcl01,West,1993,NBA,FALSE
Sean Elliott,elliose01,West,1993,NBA,FALSE
Tim Hardaway,hardati01,West,1993,NBA,FALSE
Shawn Kemp,kempsh01,West,1993,NBA,FALSE
Dan Majerle,majerda01,West,1993,NBA,FALSE
Karl Malone,malonka01,West,1993,NBA,FALSE
Danny Manning,mannida01,West,1993,NBA,FALSE
Chris Mullin,mullich01,West,1993,NBA,TRUE
Hakeem Olajuwon,olajuha01,West,1993,NBA,FALSE
Terry Porter,portete01,West,1993,NBA,TRUE
Mitch Richmond,richmmi01,West,1993,NBA,TRUE
David Robinson,robinda01,West,1993,NBA,FALSE
John Stockton,stockjo01,West,1993,NBA,FALSE
Michael Adams,adamsmi01,East,1992,NBA,TRUE
Charles Barkley,barklch01,East,1992,NBA,FALSE
Larry Bird,birdla01,East,1992,NBA,TRUE
Brad Daugherty,daughbr01,East,1992,NBA,FALSE
Joe Dumars,dumarjo01,East,1992,NBA,FALSE
Patrick Ewing,ewingpa01,East,1992,NBA,FALSE
Michael Jordan,jordami01,East,1992,NBA,FALSE
Reggie Lewis,lewisre01,East,1992,NBA,FALSE
Scottie Pippen,pippesc01,East,1992,NBA,FALSE
Mark Price,pricema01,East,1992,NBA,FALSE
Dennis Rodman,rodmade01,East,1992,NBA,FALSE
Isiah Thomas,thomais01,East,1992,NBA,FALSE
Dominique Wilkins,wilkido01,East,1992,NBA,TRUE
Kevin Willis,willike02,East,1992,NBA,TRUE
Clyde Drexler,drexlcl01,West,1992,NBA,FALSE
Tim Hardaway,hardati01,West,1992,NBA,FALSE
Jeff Hornacek,hornaje01,West,1992,NBA,FALSE
Magic Johnson,johnsma02,West,1992,NBA,FALSE
Dan Majerle,majerda01,West,1992,NBA,FALSE
Karl Malone,malonka01,West,1992,NBA,FALSE
Chris Mullin,mullich01,West,1992,NBA,FALSE
Dikembe Mutombo,mutomdi01,West,1992,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1992,NBA,FALSE
David Robinson,robinda01,West,1992,NBA,FALSE
John Stockton,stockjo01,West,1992,NBA,FALSE
Otis Thorpe,thorpot01,West,1992,NBA,FALSE
James Worthy,worthja01,West,1992,NBA,FALSE
Charles Barkley,barklch01,East,1991,NBA,FALSE
Larry Bird,birdla01,East,1991,NBA,TRUE
Brad Daugherty,daughbr01,East,1991,NBA,FALSE
Joe Dumars,dumarjo01,East,1991,NBA,FALSE
Patrick Ewing,ewingpa01,East,1991,NBA,FALSE
Hersey Hawkins,hawkihe01,East,1991,NBA,TRUE
Michael Jordan,jordami01,East,1991,NBA,FALSE
Bernard King,kingbe01,East,1991,NBA,FALSE
Kevin McHale,mchalke01,East,1991,NBA,FALSE
Robert Parish,parisro01,East,1991,NBA,FALSE
Ricky Pierce,piercri01,East,1991,NBA,FALSE
Alvin Robertson,roberal01,East,1991,NBA,FALSE
Isiah Thomas,thomais01,East,1991,NBA,TRUE
Dominique Wilkins,wilkido01,East,1991,NBA,FALSE
Tom Chambers,chambto01,West,1991,NBA,FALSE
Clyde Drexler,drexlcl01,West,1991,NBA,FALSE
Kevin Duckworth,duckwke01,West,1991,NBA,FALSE
Tim Hardaway,hardati01,West,1991,NBA,FALSE
Kevin Johnson,johnske02,West,1991,NBA,FALSE
Magic Johnson,johnsma02,West,1991,NBA,FALSE
Karl Malone,malonka01,West,1991,NBA,FALSE
Chris Mullin,mullich01,West,1991,NBA,FALSE
Terry Porter,portete01,West,1991,NBA,FALSE
David Robinson,robinda01,West,1991,NBA,FALSE
John Stockton,stockjo01,West,1991,NBA,FALSE
James Worthy,worthja01,West,1991,NBA,FALSE
Charles Barkley,barklch01,East,1990,NBA,FALSE
Larry Bird,birdla01,East,1990,NBA,FALSE
Joe Dumars,dumarjo01,East,1990,NBA,FALSE
Patrick Ewing,ewingpa01,East,1990,NBA,FALSE
Michael Jordan,jordami01,East,1990,NBA,FALSE
Kevin McHale,mchalke01,East,1990,NBA,FALSE
Reggie Miller,millere01,East,1990,NBA,FALSE
Robert Parish,parisro01,East,1990,NBA,FALSE
Scottie Pippen,pippesc01,East,1990,NBA,FALSE
Dennis Rodman,rodmade01,East,1990,NBA,FALSE
Isiah Thomas,thomais01,East,1990,NBA,FALSE
Dominique Wilkins,wilkido01,East,1990,NBA,FALSE
Rolando Blackman,blackro01,West,1990,NBA,TRUE
Tom Chambers,chambto01,West,1990,NBA,FALSE
Clyde Drexler,drexlcl01,West,1990,NBA,FALSE
A.C. Green,greenac01,West,1990,NBA,FALSE
Kevin Johnson,johnske02,West,1990,NBA,FALSE
Magic Johnson,johnsma02,West,1990,NBA,FALSE
Fat Lever,leverfa01,West,1990,NBA,FALSE
Karl Malone,malonka01,West,1990,NBA,TRUE
Chris Mullin,mullich01,West,1990,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1990,NBA,FALSE
David Robinson,robinda01,West,1990,NBA,FALSE
John Stockton,stockjo01,West,1990,NBA,FALSE
James Worthy,worthja01,West,1990,NBA,FALSE
Charles Barkley,barklch01,East,1989,NBA,FALSE
Terry Cummings,cummite01,East,1989,NBA,FALSE
Brad Daugherty,daughbr01,East,1989,NBA,FALSE
Patrick Ewing,ewingpa01,East,1989,NBA,FALSE
Mark Jackson,jacksma01,East,1989,NBA,FALSE
Michael Jordan,jordami01,East,1989,NBA,FALSE
Moses Malone,malonmo01,East,1989,NBA,FALSE
Kevin McHale,mchalke01,East,1989,NBA,FALSE
Larry Nance,nancela01,East,1989,NBA,FALSE
Mark Price,pricema01,East,1989,NBA,FALSE
Isiah Thomas,thomais01,East,1989,NBA,FALSE
Dominique Wilkins,wilkido01,East,1989,NBA,FALSE
Kareem Abdul-Jabbar,abdulka01,West,1989,NBA,TRUE
Tom Chambers,chambto01,West,1989,NBA,FALSE
Clyde Drexler,drexlcl01,West,1989,NBA,FALSE
Kevin Duckworth,duckwke01,West,1989,NBA,FALSE
Mark Eaton,eatonma01,West,1989,NBA,FALSE
Dale Ellis,ellisda01,West,1989,NBA,FALSE
Alex English,englial01,West,1989,NBA,FALSE
Magic Johnson,johnsma02,West,1989,NBA,TRUE
Karl Malone,malonka01,West,1989,NBA,FALSE
Chris Mullin,mullich01,West,1989,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1989,NBA,FALSE
John Stockton,stockjo01,West,1989,NBA,FALSE
James Worthy,worthja01,West,1989,NBA,FALSE
Danny Ainge,aingeda01,East,1988,NBA,FALSE
Charles Barkley,barklch01,East,1988,NBA,FALSE
Larry Bird,birdla01,East,1988,NBA,FALSE
Maurice Cheeks,cheekma01,East,1988,NBA,FALSE
Brad Daugherty,daughbr01,East,1988,NBA,FALSE
Patrick Ewing,ewingpa01,East,1988,NBA,FALSE
Michael Jordan,jordami01,East,1988,NBA,FALSE
Moses Malone,malonmo01,East,1988,NBA,FALSE
Kevin McHale,mchalke01,East,1988,NBA,FALSE
Doc Rivers,riverdo01,East,1988,NBA,FALSE
Isiah Thomas,thomais01,East,1988,NBA,FALSE
Dominique Wilkins,wilkido01,East,1988,NBA,FALSE
Kareem Abdul-Jabbar,abdulka01,West,1988,NBA,FALSE
Mark Aguirre,aguirma01,West,1988,NBA,FALSE
James Donaldson,donalja01,West,1988,NBA,TRUE
Clyde Drexler,drexlcl01,West,1988,NBA,FALSE
Alex English,englial01,West,1988,NBA,FALSE
Magic Johnson,johnsma02,West,1988,NBA,FALSE
Steve Johnson,johnsst03,West,1988,NBA,TRUE
Fat Lever,leverfa01,West,1988,NBA,FALSE
Karl Malone,malonka01,West,1988,NBA,FALSE
Xavier McDaniel,mcdanxa01,West,1988,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1988,NBA,FALSE
Alvin Robertson,roberal01,West,1988,NBA,FALSE
James Worthy,worthja01,West,1988,NBA,FALSE
Charles Barkley,barklch01,East,1987,NBA,FALSE
Larry Bird,birdla01,East,1987,NBA,FALSE
Maurice Cheeks,cheekma01,East,1987,NBA,FALSE
Julius Erving,ervinju01,East,1987,NBA,FALSE
Michael Jordan,jordami01,East,1987,NBA,FALSE
Bill Laimbeer,laimbbi01,East,1987,NBA,FALSE
Jeff Malone,malonje01,East,1987,NBA,FALSE
Moses Malone,malonmo01,East,1987,NBA,FALSE
Kevin McHale,mchalke01,East,1987,NBA,FALSE
Robert Parish,parisro01,East,1987,NBA,FALSE
Isiah Thomas,thomais01,East,1987,NBA,FALSE
Dominique Wilkins,wilkido01,East,1987,NBA,FALSE
Kareem Abdul-Jabbar,abdulka01,West,1987,NBA,FALSE
Mark Aguirre,aguirma01,West,1987,NBA,FALSE
Rolando Blackman,blackro01,West,1987,NBA,FALSE
Joe Barry Carroll,carrojo01,West,1987,NBA,FALSE
Tom Chambers,chambto01,West,1987,NBA,TRUE
Walter Davis,daviswa03,West,1987,NBA,FALSE
Alex English,englial01,West,1987,NBA,FALSE
Sleepy Floyd,floydsl01,West,1987,NBA,FALSE
Magic Johnson,johnsma02,West,1987,NBA,FALSE
Hakeem Olajuwon,olajuha01,West,1987,NBA,FALSE
Alvin Robertson,roberal01,West,1987,NBA,FALSE
Ralph Sampson,sampsra01,West,1987,NBA,TRUE
James Worthy,worthja01,West,1987,NBA,FALSE
Larry Bird,birdla01,East,1986,NBA,FALSE
Maurice Cheeks,cheekma01,East,1986,NBA,FALSE
Julius Erving,ervinju01,East,1986,NBA,FALSE
Patrick Ewing,ewingpa01,East,1986,NBA,TRUE
Michael Jordan,jordami01,East,1986,NBA,TRUE
Jeff Malone,malonje01,East,1986,NBA,FALSE
Moses Malone,malonmo01,East,1986,NBA,FALSE
Kevin McHale,mchalke01,East,1986,NBA,FALSE
Sidney Moncrief,moncrsi01,East,1986,NBA,FALSE
Robert Parish,parisro01,East,1986,NBA,FALSE
Isiah Thomas,thomais01,East,1986,NBA,FALSE
Dominique Wilkins,wilkido01,East,1986,NBA,FALSE
Buck Williams,willibu01,East,1986,NBA,FALSE
