player,player_id,pos,ht_in_in,wt,birth_date,colleges,from,to,debut,hof
Swede Halbrook,halbrsw01,C,87,235,1933-01-30,Oregon State,1961,1962,1960-10-22T00:00:00Z,FALSE
Ron Johnson,johnsro01,F,80,215,1938-07-20,Minnesota,1961,1961,1960-10-22T00:00:00Z,FALSE
Fred LaCour,lacoufr01,G-F,77,210,1938-02-07,San Francisco,1961,1963,1960-10-22T00:00:00Z,FALSE
George Lee,leege01,F-G,76,200,1936-11-23,Michigan,1961,1968,1960-10-22T00:00:00Z,FALSE
Jackie Moreland,morelja01,F-G,79,215,1938-03-11,Louisiana Tech,1961,1970,1960-10-22T00:00:00Z,FALSE
Don Ohl,ohldo01,G,75,190,1936-04-18,Illinois,1961,1970,1960-10-22T00:00:00Z,FALSE
Joe Roberts,roberjo01,F,78,214,1936-05-18,Ohio State,1961,1968,1960-10-22T00:00:00Z,FALSE
Tom Sanders,sandeto01,F,78,210,1938-11-08,NYU,1961,1973,1960-10-22T00:00:00Z,TRUE
Lenny Wilkens,wilkele01,G,73,180,1937-10-28,Providence,1961,1975,1960-10-22T00:00:00Z,TRUE
Al Attles,attleal01,G,72,175,1936-11-07,North Carolina A&T,1961,1971,1960-10-28T00:00:00Z,TRUE
Pickles Kennedy,kennepi01,G,71,180,1938-05-17,Temple,1961,1961,1960-10-29T00:00:00Z,FALSE
Willie Jones,joneswi01,G,75,185,1936-06-29,Northwestern,1961,1965,1960-11-05T00:00:00Z,FALSE
Walt Bellamy,bellawa01,C,83,225,1939-07-24,Indiana,1962,1975,1961-10-19T00:00:00Z,TRUE
George Blaney,blanege01,G,73,175,1939-11-12,Holy Cross,1962,1962,1961-10-19T00:00:00Z,FALSE
Cleveland Buckner,buckncl01,F-C,81,210,1938-08-17,Jackson State University,1962,1963,1961-10-19T00:00:00Z,FALSE
Ed Burton,burtoed01,F,78,225,1939-08-13,Michigan State,1962,1965,1961-10-19T00:00:00Z,FALSE
Howie Carl,carlho01,G,69,160,1938-06-07,DePaul,1962,1962,1961-10-19T00:00:00Z,FALSE
York Larese,laresyo01,G,76,183,1938-07-18,UNC,1962,1962,1961-10-19T00:00:00Z,FALSE
Whitey Martin,martiwh01,G,74,185,1939-04-11,St. Bonaventure,1962,1962,1961-10-19T00:00:00Z,FALSE
Tom Meschery,meschto01,F,78,215,1938-10-26,Saint Mary's,1962,1971,1961-10-19T00:00:00Z,FALSE
Bob Sims,simsbo01,G-F,77,220,1938-10-09,Pepperdine,1962,1968,1961-10-19T00:00:00Z,FALSE
Bill Smith,smithbi01,G-F,77,190,1939-04-26,Saint Peter's College,1962,1962,1961-10-19T00:00:00Z,FALSE
Sam Stith,stithsa01,G,74,185,1937-07-22,St. Bonaventure,1962,1962,1961-10-19T00:00:00Z,FALSE
Jack Turner,turneja02,G-F,77,200,1939-06-05,Louisville,1962,1962,1961-10-19T00:00:00Z,FALSE
Horace Walker,walkeho01,F,75,210,1937-04-17,Michigan State,1962,1962,1961-10-19T00:00:00Z,FALSE
Ted Luckenbill,luckete01,F,78,205,1939-07-27,Houston,1962,1963,1961-10-20T00:00:00Z,FALSE
Joe Buckhalter,buckhjo01,F,79,210,1937-08-01,Tennessee State,1962,1963,1961-10-21T00:00:00Z,FALSE
Al Butler,butleal01,G,74,175,1938-07-09,Niagara University,1962,1965,1961-10-21T00:00:00Z,FALSE
Johnny Egan,eganjo01,G,71,180,1939-01-31,Providence,1962,1972,1961-10-21T00:00:00Z,FALSE
Cleo Hill,hillcl01,G,73,185,1938-05-24,Winston-Salem State,1962,1962,1961-10-21T00:00:00Z,FALSE
Paul Neumann,neumapa01,G,73,175,1938-01-30,Stanford,1962,1967,1961-10-21T00:00:00Z,FALSE
Bevo Nordmann,nordmbe01,C,82,225,1939-12-11,Saint Louis,1962,1965,1961-10-21T00:00:00Z,FALSE
Gary Phillips,phillga01,G,75,189,1939-12-07,Houston,1962,1966,1961-10-21T00:00:00Z,FALSE
Frank Radovich,radovfr01,F,80,235,1938-03-03,Indiana,1962,1962,1961-10-21T00:00:00Z,FALSE
Ray Scott,scottra01,F-C,81,215,1938-07-12,"New York City College of Technology, University of Portland",1962,1972,1961-10-21T00:00:00Z,FALSE
Lee Shaffer,shaffle01,F,79,220,1939-02-23,UNC,1962,1964,1961-10-21T00:00:00Z,FALSE
Adrian Smith,smithad01,G,73,180,1936-10-05,"Northeast Mississippi Community College, Kentucky",1962,1972,1961-10-21T00:00:00Z,FALSE
Bob Wiesenhahn,wiesebo01,F,76,215,1938-12-22,Cincinnati,1962,1962,1961-10-21T00:00:00Z,FALSE
Wayne Yates,yateswa01,C,80,235,1937-11-07,Memphis,1962,1962,1961-10-27T00:00:00Z,FALSE
George Bon Salle,bonsage01,F,80,220,1935-07-01,Illinois,1962,1962,1961-10-28T00:00:00Z,FALSE
Dave Zeller,zelleda01,G,73,175,1939-06-08,Miami University,1962,1962,1961-10-29T00:00:00Z,FALSE
Doug Kistler,kistldo01,F,81,210,1938-03-21,Duke,1962,1962,1961-11-01T00:00:00Z,FALSE
Chuck Osborne,osborch01,F,78,210,1939-01-21,Western Kentucky,1962,1962,1961-11-03T00:00:00Z,FALSE
Jimmy Darrow,darroji01,G,70,170,1937-09-25,Bowling Green,1962,1962,1961-11-22T00:00:00Z,FALSE
Ron Horn,hornro01,F,79,220,1938-05-24,Indiana,1962,1968,1961-11-22T00:00:00Z,FALSE
Donnie Butcher,butchdo01,G,74,200,1936-02-08,Pikeville College,1962,1966,1961-12-01T00:00:00Z,FALSE
Stacey Arceneaux,arcenst01,F,76,210,1936-02-17,Iowa State,1962,1962,1962-03-02T00:00:00Z,FALSE
Rich Eichhorst,eichhdi01,G,75,200,1933-10-21,SE Missouri State,1962,1962,1962-03-14T00:00:00Z,FALSE
Johnny Cox,coxjo01,G,76,180,1936-11-01,Kentucky,1963,1963,1962-10-16T00:00:00Z,FALSE
Dave DeBusschere,debusda01,F-G,78,220,1940-10-16,Detroit Mercy,1963,1974,1962-10-16T00:00:00Z,TRUE
Leroy Ellis,ellisle01,C-F,82,210,1940-03-10,St. John's,1963,1976,1962-10-16T00:00:00Z,FALSE
Charlie Hardnett,hardnch01,F-C,80,225,1938-09-13,Grambling State University,1963,1965,1962-10-16T00:00:00Z,FALSE
Paul Hogue,hoguedu01,C,81,240,1940-04-28,Cincinnati,1963,1964,1962-10-16T00:00:00Z,FALSE
Kevin Loughery,loughke01,G,75,190,1940-03-28,"Boston College, St. John's",1963,1973,1962-10-16T00:00:00Z,FALSE
Don Nelson,nelsodo01,F,78,210,1940-05-15,Iowa,1963,1976,1962-10-16T00:00:00Z,TRUE
Mel Nowell,nowelme01,G,74,170,1939-12-27,Ohio State,1963,1968,1962-10-16T00:00:00Z,FALSE
Gene Wiley,wileyge01,C,82,210,1937-11-12,Wichita State,1963,1968,1962-10-16T00:00:00Z,FALSE
John Rudometkin,rudomjo01,F,78,205,1940-06-06,USC,1963,1965,1962-10-19T00:00:00Z,FALSE
John Barnhill,barnhjo01,G,73,180,1938-03-20,Tennessee State,1963,1972,1962-10-20T00:00:00Z,FALSE
Zelmo Beaty,beatyze01,C,81,225,1939-10-25,Prairie View A&M University,1963,1975,1962-10-20T00:00:00Z,TRUE
Len Chappell,chapple01,F-C,80,240,1941-01-31,Wake Forest,1963,1972,1962-10-20T00:00:00Z,FALSE
Terry Dischinger,dischte01,F-G,79,189,1940-11-21,Purdue,1963,1973,1962-10-20T00:00:00Z,FALSE
John Havlicek,havlijo01,F-G,77,203,1940-04-08,Ohio State,1963,1978,1962-10-20T00:00:00Z,TRUE
Dan Swartz,swartda01,F,76,215,1934-12-23,Morehead State University,1963,1963,1962-10-20T00:00:00Z,FALSE
Chico Vaughn,vaughch01,G,74,190,1940-02-19,Southern Illinois,1963,1970,1962-10-20T00:00:00Z,FALSE
Chet Walker,walkech01,F-G,79,212,1940-02-22,Bradley,1963,1975,1962-10-20T00:00:00Z,TRUE
Danny Doyle,doyleda01,F,80,200,1940-02-06,Belmont Abbey College,1963,1963,1962-10-23T00:00:00Z,FALSE
Dave Fedor,fedorda01,F,78,190,1940-12-10,Florida State,1963,1963,1962-10-23T00:00:00Z,FALSE
Dave Gunther,gunthda01,F,79,190,1937-07-22,Iowa,1963,1963,1962-10-23T00:00:00Z,FALSE
Wayne Hightower,hightwa01,F-C,80,192,1940-01-14,Kansas,1963,1972,1962-10-23T00:00:00Z,FALSE
Porter Meriwether,meriwpo01,G,74,180,1940-03-16,Tennessee State,1963,1963,1962-10-23T00:00:00Z,FALSE
Howie Montgomery,montgho01,F,77,220,1940-08-22,University of Texas Rio Grande Valley,1963,1963,1962-10-23T00:00:00Z,FALSE
Jeff Slade,sladeje01,F,78,220,1941-03-01,Kenyon College,1963,1963,1962-10-23T00:00:00Z,FALSE
Hubie White,whitehu01,G-F,76,205,1940-01-26,Villanova,1963,1971,1962-10-23T00:00:00Z,FALSE
Billy McGill,mcgilbi01,C-F,81,225,1939-09-16,Utah,1963,1970,1962-10-24T00:00:00Z,FALSE
Bud Olsen,olsenbu01,F-C,80,220,1940-07-25,Louisville,1963,1970,1962-10-24T00:00:00Z,FALSE
Dan Tieman,tiemada01,G,72,185,1940-11-30,Thomas More College,1963,1963,1962-10-24T00:00:00Z,FALSE
Bob Duffy,duffybo02,G,75,185,1940-09-26,Colgate,1963,1965,1962-10-26T00:00:00Z,FALSE
Ralph Wells,wellsra01,G,73,180,1940-09-03,Northwestern,1963,1963,1962-10-26T00:00:00Z,FALSE
Tom Stith,stithto01,F,77,210,1939-01-21,St. Bonaventure,1963,1963,1962-11-13T00:00:00Z,FALSE
Jack Foley,foleyja01,F,75,170,1939-04-19,Holy Cross,1963,1963,1962-12-26T00:00:00Z,FALSE
Bill Bridges,bridgbi01,F-C,78,228,1939-04-04,Kansas,1963,1975,1963-01-08T00:00:00Z,FALSE
Gene Tormohlen,tormobu01,C-F,80,230,1937-05-12,Tennessee,1963,1970,1963-01-09T00:00:00Z,FALSE
Ben Warley,warlebe01,F-G,77,200,1936-09-04,Tennessee State,1963,1970,1963-01-22T00:00:00Z,FALSE
Jay Arnette,arnetja01,G,74,175,1938-12-19,Texas,1964,1966,1963-10-16T00:00:00Z,FALSE
Larry Comley,comlela01,G,77,210,1939-08-17,Kansas State,1964,1964,1963-10-16T00:00:00Z,FALSE
Gus Johnson,johnsgu01,F-C,78,230,1938-12-13,"Boise State, Idaho",1964,1973,1963-10-16T00:00:00Z,TRUE
Don Kojis,kojisdo01,F,77,215,1939-01-15,Marquette,1964,1975,1963-10-16T00:00:00Z,FALSE
Jerry Lucas,lucasje01,F-C,80,230,1940-03-30,Ohio State,1964,1974,1963-10-16T00:00:00Z,TRUE
Larry Siegfried,siegfla01,F,75,190,1939-05-22,Ohio State,1964,1972,1963-10-16T00:00:00Z,FALSE
Roger Strickland,stricro01,F,77,200,1940-09-04,Jacksonville University,1964,1964,1963-10-16T00:00:00Z,FALSE
Rod Thorn,thornro01,G,76,195,1941-05-23,West Virginia,1964,1971,1963-10-16T00:00:00Z,TRUE
Gerry Ward,wardge01,G,76,195,1941-09-06,Boston College,1964,1967,1963-10-16T00:00:00Z,FALSE
Jerry Harkness,harknje01,G,74,175,1940-05-07,Loyola Chicago,1964,1969,1963-10-17T00:00:00Z,FALSE
Art Heyman,heymaar01,F-G,77,205,1941-06-24,Duke,1964,1970,1963-10-17T00:00:00Z,FALSE
Gary Hill,hillga01,G,76,185,1941-10-07,Oklahoma City University,1964,1965,1963-10-19T00:00:00Z,FALSE
Eddie Miles,milesed01,G-F,76,195,1940-07-05,Seattle University,1964,1972,1963-10-19T00:00:00Z,FALSE
Nate Thurmond,thurmna01,C-F,83,225,1941-07-25,Bowling Green,1964,1977,1963-10-19T00:00:00Z,TRUE
John Windsor,windsjo01,F,80,215,1940-04-03,Stanford,1964,1964,1963-10-19T00:00:00Z,FALSE
Mel Gibson,gibsome01,G,75,180,1940-12-30,Western Carolina University,1964,1964,1963-10-22T00:00:00Z,FALSE
Jim King,kingji01,G,74,175,1941-02-07,Tulsa,1964,1973,1963-10-22T00:00:00Z,FALSE
Mel Peterson,peterme01,G-F,76,185,1938-03-23,Wheaton College,1964,1970,1963-10-23T00:00:00Z,FALSE
Tom Thacker,thackto01,G-F,74,170,1939-11-02,Cincinnati,1964,1971,1963-10-26T00:00:00Z,FALSE
Tom Hoover,hooveto01,C,81,230,1941-01-23,Villanova,1964,1969,1963-10-29T00:00:00Z,FALSE
Jerry Greenspan,greenje01,F,77,195,1941-11-22,Maryland,1964,1965,1963-12-05T00:00:00Z,FALSE
Reggie Harding,hardire01,C,84,249,1942-05-04,NA,1964,1968,1964-01-20T00:00:00Z,FALSE
Ken Rohloff,rohloke01,G,72,195,1939-04-18,NC State,1964,1964,1964-03-17T00:00:00Z,FALSE
Larry Jones,jonesla01,G-F,74,180,1942-09-22,Toledo,1965,1974,1964-10-16T00:00:00Z,FALSE
Ron Bonham,bonharo01,F,77,192,1942-05-31,Cincinnati,1965,1968,1964-10-17T00:00:00Z,FALSE
Gary Bradds,braddga01,F,80,210,1942-07-26,Ohio State,1965,1971,1964-10-17T00:00:00Z,FALSE
Em Bryant,bryanem01,G,73,175,1938-11-04,DePaul,1965,1972,1964-10-17T00:00:00Z,FALSE
Happy Hairston,hairsha01,F,79,225,1942-05-31,NYU,1965,1975,1964-10-17T00:00:00Z,FALSE
Les Hunter,huntele01,F-C,79,210,1942-08-16,Loyola Chicago,1965,1973,1964-10-17T00:00:00Z,FALSE
Wali Jones,joneswa02,G,74,180,1942-02-14,Villanova,1965,1976,1964-10-17T00:00:00Z,FALSE
Howard Komives,komivho01,G,73,185,1941-05-09,Bowling Green,1965,1974,1964-10-17T00:00:00Z,FALSE
Bud Koper,koperbu01,G,78,210,1942-08-09,Oklahoma City University,1965,1965,1964-10-17T00:00:00Z,FALSE
Barry Kramer,krameba01,F-G,76,200,1942-11-10,NYU,1965,1970,1964-10-17T00:00:00Z,FALSE
McCoy McLemore,mclemmc01,F-C,79,230,1942-04-03,Drake University,1965,1972,1964-10-17T00:00:00Z,FALSE
Cotton Nash,nashco01,F,77,215,1942-07-24,Kentucky,1965,1968,1964-10-17T00:00:00Z,FALSE
Willis Reed,reedwi01,C-F,82,235,1942-06-25,Grambling State University,1965,1974,1964-10-17T00:00:00Z,TRUE
Paul Silas,silaspa01,F-C,79,220,1943-07-12,Creighton,1965,1980,1964-10-17T00:00:00Z,FALSE
John Thompson,thompjo01,F,82,225,1941-09-02,Providence,1965,1966,1964-10-17T00:00:00Z,TRUE
John Tresvant,tresvjo01,F-C,79,215,1939-11-06,Seattle University,1965,1973,1964-10-17T00:00:00Z,FALSE
Jerry Grote,groteje01,G,76,215,1940-12-28,Loyola Marymount,1965,1965,1964-10-20T00:00:00Z,FALSE
Luke Jackson,jackslu01,F-C,81,240,1941-10-31,University of Texas Rio Grande Valley,1965,1972,1964-10-27T00:00:00Z,FALSE
Walt Hazzard,abdulma01,G,74,185,1942-04-15,UCLA,1965,1974,1964-10-28T00:00:00Z,FALSE
Jim Barnes,barneji01,C-F,80,210,1941-04-13,Texas-El Paso,1965,1971,1964-10-30T00:00:00Z,FALSE
Joe Caldwell,caldwjo01,F-G,77,195,1941-11-01,Arizona State,1965,1975,1964-10-30T00:00:00Z,FALSE
Mel Counts,countme01,C-F,84,230,1941-10-16,Oregon State,1965,1976,1964-10-31T00:00:00Z,FALSE
George Wilson,wilsoge01,C,80,225,1942-05-09,Cincinnati,1965,1971,1964-10-31T00:00:00Z,FALSE
Jeff Mullins,mullije01,G-F,76,190,1942-03-18,Duke,1965,1976,1964-11-04T00:00:00Z,FALSE
Steve Courtin,courtst01,G,73,188,1942-09-21,Saint Joseph's,1965,1965,1965-01-27T00:00:00Z,FALSE
Rick Barry,barryri01,F,79,205,1944-03-28,Miami (FL),1966,1980,1965-10-15T00:00:00Z,TRUE
Keith Erickson,erickke01,F-G,77,195,1944-04-19,UCLA,1966,1977,1965-10-15T00:00:00Z,FALSE
Will Frazier,fraziwi01,C-F,79,210,1942-08-25,Grambling State University,1966,1969,1965-10-15T00:00:00Z,FALSE
Gail Goodrich,goodrga01,G,73,170,1943-04-23,UCLA,1966,1979,1965-10-15T00:00:00Z,TRUE
Jon McGlocklin,mcglojo01,G-F,77,205,1943-06-10,Indiana,1966,1976,1965-10-15T00:00:00Z,FALSE
Jim Washington,washiji01,F-C,78,210,1943-07-01,Villanova,1966,1976,1965-10-15T00:00:00Z,FALSE
Jesse Branson,bransje01,F,79,195,1942-01-07,Elon University,1966,1968,1965-10-16T00:00:00Z,FALSE
Bill Buntin,buntibi01,C-F,79,250,1942-05-05,Michigan,1966,1966,1965-10-16T00:00:00Z,FALSE
Barry Clemens,clemeba01,F,78,210,1943-05-01,Ohio Wesleyan University,1966,1976,1965-10-16T00:00:00Z,FALSE
Billy Cunningham,cunnibi01,F-C,78,210,1943-06-03,UNC,1966,1976,1965-10-16T00:00:00Z,TRUE
Thales McReynolds,mcreyth01,G,75,185,1943-06-08,Miles College,1966,1966,1965-10-16T00:00:00Z,FALSE
Ron Reed,reedro01,F,77,205,1942-11-02,Notre Dame,1966,1967,1965-10-16T00:00:00Z,FALSE
Jerry Sloan,sloanje01,G-F,77,195,1942-03-28,University of Evansville,1966,1976,1965-10-16T00:00:00Z,TRUE
Willie Somerset,somerwi01,G,68,170,1942-03-17,Duquesne,1966,1969,1965-10-16T00:00:00Z,FALSE
Dave Stallworth,stallda01,F-C,79,200,1941-12-20,Wichita State,1966,1975,1965-10-16T00:00:00Z,FALSE
Joe Strawder,strawjo01,C,82,235,1940-09-21,Bradley,1966,1968,1965-10-16T00:00:00Z,FALSE
Dick Van Arsdale,vanardi01,G-F,77,210,1943-02-22,Indiana,1966,1977,1965-10-16T00:00:00Z,FALSE
Tom Van Arsdale,vanarto01,F-G,77,202,1943-02-22,Indiana,1966,1977,1965-10-16T00:00:00Z,FALSE
Bob Weiss,weissbo01,G,74,180,1942-05-07,Penn State,1966,1977,1965-10-16T00:00:00Z,FALSE
Ron Watts,wattsro01,F,78,210,1943-05-21,Wake Forest,1966,1967,1965-10-23T00:00:00Z,FALSE
John Fairchild,faircjo01,F,80,205,1943-04-28,"Palomar College, BYU",1966,1970,1965-10-28T00:00:00Z,FALSE
Fred Hetzel,hetzefr01,F-C,80,220,1942-07-21,Davidson,1966,1971,1965-11-03T00:00:00Z,FALSE
Bob Warlick,warlibo01,G-F,77,200,1941-03-20,"University of Southern Colorado, Pepperdine",1966,1970,1965-11-26T00:00:00Z,FALSE
Henry Akin,akinhe01,C-F,82,225,1944-07-31,Morehead State University,1967,1969,1966-10-15T00:00:00Z,FALSE
Johnny Austin,austijo01,G,72,170,1944-08-31,Boston College,1967,1968,1966-10-15T00:00:00Z,FALSE
Dave Bing,bingda01,G,75,180,1943-11-24,Syracuse,1967,1978,1966-10-15T00:00:00Z,TRUE
Archie Clark,clarkar01,G,74,175,1941-07-15,Minnesota,1967,1976,1966-10-15T00:00:00Z,FALSE
Dave Deutsch,deutsda01,G,73,170,1945-05-13,University of Rochester,1967,1967,1966-10-15T00:00:00Z,FALSE
Matt Guokas,guokama02,G-F,77,175,1944-02-25,Saint Joseph's,1967,1976,1966-10-15T00:00:00Z,FALSE
Lou Hudson,hudsolo01,F-G,77,210,1944-07-11,Minnesota,1967,1979,1966-10-15T00:00:00Z,TRUE
Bill Melchionni,melchbi01,G,73,165,1944-10-19,Villanova,1967,1976,1966-10-15T00:00:00Z,FALSE
Erwin Mueller,mueller01,C-F,80,230,1944-03-12,San Francisco,1967,1974,1966-10-15T00:00:00Z,FALSE
Flynn Robinson,robinfl01,G,73,185,1941-04-28,"Southern Illinois, Casper College, Wyoming",1967,1974,1966-10-15T00:00:00Z,FALSE
Dick Snyder,snydedi01,G-F,77,207,1944-02-01,Davidson,1967,1979,1966-10-15T00:00:00Z,FALSE
Jim Ware,wareji01,F,79,210,1944-05-02,Oklahoma City University,1967,1969,1966-10-15T00:00:00Z,FALSE
Walt Wesley,weslewa01,C,83,220,1945-01-25,Kansas,1967,1976,1966-10-15T00:00:00Z,FALSE
Jerry Chambers,chambje01,F,77,185,1943-07-18,"Trinidad State Junior College, Utah",1967,1974,1966-10-18T00:00:00Z,FALSE
Freddie Lewis,lewisfr02,G,72,175,1943-07-01,"Eastern Arizona College, Arizona State",1967,1977,1966-10-18T00:00:00Z,FALSE
Bob Love,lovebo01,F,80,215,1942-12-08,Southern University and A&M College,1967,1977,1966-10-18T00:00:00Z,FALSE
Cazzie Russell,russeca01,F-G,77,218,1944-06-07,Michigan,1967,1978,1966-10-18T00:00:00Z,FALSE
Hank Finkel,finkeha01,C,84,240,1942-04-20,Dayton,1967,1975,1966-10-19T00:00:00Z,FALSE
Jack Marin,marinja01,F-G,79,200,1944-10-12,Duke,1967,1977,1966-10-19T00:00:00Z,FALSE
Wayne Molis,moliswa01,F,80,230,1943-04-17,"Chicago State, Lewis (IL)",1967,1968,1966-10-19T00:00:00Z,FALSE
Dave Schellhase,schelda01,G,75,205,1944-10-14,Purdue,1967,1968,1966-10-19T00:00:00Z,FALSE
Joe Ellis,ellisjo01,F-G,78,175,1944-05-03,San Francisco,1967,1974,1966-10-20T00:00:00Z,FALSE
Dorie Murrey,murredo01,F-C,80,215,1943-09-07,Detroit Mercy,1967,1972,1966-10-20T00:00:00Z,FALSE
Jim Barnett,barneji02,G-F,76,170,1944-07-07,Oregon,1967,1977,1966-10-21T00:00:00Z,FALSE
Toby Kimball,kimbato01,F-C,78,220,1942-09-07,UConn,1967,1975,1966-10-21T00:00:00Z,FALSE
Tommy Kron,kronto01,G,77,200,1943-02-28,Kentucky,1967,1970,1966-10-21T00:00:00Z,FALSE
Clyde Lee,leecl01,F-C,82,205,1944-03-14,Vanderbilt,1967,1976,1966-10-21T00:00:00Z,FALSE
Nate Bowman,bowmana01,C,82,230,1943-03-19,Wichita State,1967,1972,1966-10-27T00:00:00Z,FALSE
John Block,blockjo01,F-C,81,207,1944-04-16,USC,1967,1976,1966-10-28T00:00:00Z,FALSE
Neil Johnson,johnsne02,F-C,79,220,1943-04-17,"Tulsa, Creighton",1967,1973,1966-11-08T00:00:00Z,FALSE
Freddie Crawford,crawffr01,G-F,76,189,1941-12-23,St. Bonaventure,1967,1971,1967-01-29T00:00:00Z,FALSE
Bob Hogsett,hogsebo01,F,79,230,1941-01-29,Tennessee,1967,1968,1967-02-19T00:00:00Z,FALSE
Andy Anderson,anderan01,G,74,184,1945-07-06,Canisius,1968,1970,1967-10-13T00:00:00Z,FALSE
Bob Bedell,bedelbo01,F,79,205,1944-06-26,Stanford,1968,1971,1967-10-13T00:00:00Z,FALSE
Wes Bialosuknia,bialowe01,G,74,185,1945-06-08,UConn,1968,1968,1967-10-13T00:00:00Z,FALSE
Larry Bunce,buncela01,C,84,240,1945-07-29,"Texas-El Paso, Riverside Community College, Utah State University",1968,1969,1967-10-13T00:00:00Z,FALSE
Steve Chubin,chubist01,G,74,200,1944-02-08,Rhode Island,1968,1970,1967-10-13T00:00:00Z,FALSE
Jeff Congdon,congdje01,G,73,180,1943-10-17,BYU,1968,1972,1967-10-13T00:00:00Z,FALSE
Harry Dinnel,dinneha01,F-G,76,200,1940-10-09,Pepperdine,1968,1968,1967-10-13T00:00:00Z,FALSE
Ron Franz,franzro01,F,79,205,1945-10-20,Kansas,1968,1973,1967-10-13T00:00:00Z,FALSE
Bill Garner,garnebi01,C,82,220,1940-06-17,University of Portland,1968,1968,1967-10-13T00:00:00Z,FALSE
Jim Hadnot,hadnoji01,C-F,82,235,1940-01-15,Providence,1968,1968,1967-10-13T00:00:00Z,FALSE
Steve Jones,jonesst01,G-F,77,205,1942-10-17,Oregon,1968,1976,1967-10-13T00:00:00Z,FALSE
Steve Kramer,kramest01,G-F,77,200,1945-01-01,BYU,1968,1970,1967-10-13T00:00:00Z,FALSE
Dave Lattin,lattida01,F-C,78,225,1943-12-23,Texas-El Paso,1968,1973,1967-10-13T00:00:00Z,FALSE
Bobby Lewis,lewisbo01,G,75,175,1945-03-20,UNC,1968,1971,1967-10-13T00:00:00Z,FALSE
Plummer Lott,lottpl01,F-G,77,210,1945-12-11,Seattle University,1968,1969,1967-10-13T00:00:00Z,FALSE
Willie Porter,portewi01,F,79,205,1941-07-03,Tennessee State,1968,1969,1967-10-13T00:00:00Z,FALSE
Bob Rule,rulebo01,C-F,81,220,1944-06-29,"Riverside Community College, Colorado State",1968,1975,1967-10-13T00:00:00Z,FALSE
Al Salvadori,salvaal01,F,81,220,1945-05-06,South Carolina,1968,1968,1967-10-13T00:00:00Z,FALSE
Les Selvage,selvale01,G,73,175,1943-03-07,Truman State University,1968,1970,1967-10-13T00:00:00Z,FALSE
Randy Stoll,stollra01,C,79,235,NA,Washington State,1968,1968,1967-10-13T00:00:00Z,FALSE
Levern Tart,tartle01,G-F,74,195,1942-06-01,Bradley,1968,1971,1967-10-13T00:00:00Z,FALSE
Al Tucker,tuckeal01,F,80,190,1943-02-24,Oklahoma Baptist University,1968,1972,1967-10-13T00:00:00Z,FALSE
Bill Turner,turnebi01,F,79,220,1944-02-18,University of Akron,1968,1973,1967-10-13T00:00:00Z,FALSE
Matt Aitch,aitchma01,F,79,230,1944-09-21,"Moberly Area Community College, Michigan State",1968,1968,1967-10-14T00:00:00Z,FALSE
Howard Bayne,bayneho01,F,78,235,1942-07-28,Tennessee,1968,1968,1967-10-14T00:00:00Z,FALSE
Bill Bradley,bradlbi02,G,71,165,1941-06-16,Tennessee State,1968,1968,1967-10-14T00:00:00Z,FALSE
Roger Brown,brownro01,F-G,77,205,1942-05-22,Dayton,1968,1975,1967-10-14T00:00:00Z,TRUE
Jim Burns,burnsji01,G,75,195,1945-09-21,Northwestern,1968,1968,1967-10-14T00:00:00Z,FALSE
Darel Carrier,carrida01,G,75,185,1940-10-26,Western Kentucky,1968,1973,1967-10-14T00:00:00Z,FALSE
Larry Conley,conlela01,G,75,175,1944-01-22,Kentucky,1968,1968,1967-10-14T00:00:00Z,FALSE
Ollie Darden,dardeol01,F-C,79,235,1944-07-28,Michigan,1968,1970,1967-10-14T00:00:00Z,FALSE
Jimmy Dawson,dawsoji01,G,72,175,1945-04-18,Illinois,1968,1968,1967-10-14T00:00:00Z,FALSE
Bobby Edmonds,edmonbo01,F,78,220,1941-03-08,Tennessee State,1968,1970,1967-10-14T00:00:00Z,FALSE
Smokey Gaines,gaineda01,G,73,170,1940-02-27,LeMoyne-Owen College,1968,1968,1967-10-14T00:00:00Z,FALSE
Clem Haskins,haskicl01,G,75,195,1943-07-11,Western Kentucky,1968,1976,1967-10-14T00:00:00Z,FALSE
Stew Johnson,johnsst01,F-C,80,220,1944-08-19,Murray State,1968,1976,1967-10-14T00:00:00Z,FALSE
Nick Jones,jonesni01,G,74,190,1945-03-28,Oregon,1968,1973,1967-10-14T00:00:00Z,FALSE
Ron Kozlicki,kozliro01,F,79,215,1944-12-12,Northwestern,1968,1968,1967-10-14T00:00:00Z,FALSE
George Lehmann,lehmage01,G,72,180,1941-05-01,Campbell,1968,1974,1967-10-14T00:00:00Z,FALSE
Goose Ligon,ligongo01,F-C,79,210,1944-02-22,NA,1968,1974,1967-10-14T00:00:00Z,FALSE
Randy Mahaffey,mahafra01,F,79,210,1945-09-28,Clemson,1968,1971,1967-10-14T00:00:00Z,FALSE
Jay Miller,milleja01,F,77,205,1943-07-19,Notre Dame,1968,1971,1967-10-14T00:00:00Z,FALSE
Bob Netolicky,netolbo01,F-C,81,220,1942-08-02,Drake University,1968,1976,1967-10-14T00:00:00Z,FALSE
George Peeples,peeplge01,C-F,79,190,1943-10-30,Iowa,1968,1973,1967-10-14T00:00:00Z,FALSE
